light,temp
878,56.56
874,56.13
872,57.72
869,56.13
875,56.71
872,55.55
870,56.71
870,55.98
878,57.58
873,56.71
864,57.29
869,56.71
876,56.71
870,56.56
866,56.56
868,56.13
876,57.14
872,56.71
866,56.42
869,56.13
875,55.98
872,56.56
866,56.71
872,55.98
874,56.71
871,56.42
864,57.58
871,56.13
876,56.71
870,56.71
864,57.43
869,55.55
871,56.71
871,57.29
866,56.13
870,56.56
874,56.56
872,56.71
868,55.84
872,56.13
873,56.71
868,56.71
865,56.13
870,57.29
874,55.55
870,57.29
866,56.71
871,54.68
872,56.42
868,55.55
864,56.13
870,56.71
873,56.13
871,56.42
863,56.71
870,58.1
874,56.71
870,56.27
865,56.85
869,56.56
873,56.42
868,56.71
863,57.0
869,56.42
874,56.13
870,57.43
865,56.13
868,56.27
873,55.55
866,56.13
866,57.14
870,57.14
873,57.87
868,56.42
861,56.56
868,56.71
874,56.13
872,57.14
865,56.27
869,54.39
872,56.13
865,56.27
868,56.56
870,55.55
874,57.14
869,56.71
864,55.55
869,56.13
872,55.98
872,56.56
864,57.29
870,57.29
875,59.3
867,56.27
865,56.13
866,55.84
874,55.98
867,56.27
866,55.55
867,55.55
874,56.13
870,56.71
863,56.71
869,57.58
875,55.55
869,57.14
866,57.72
869,57.72
874,56.13
868,56.13
866,55.55
870,56.13
873,56.27
868,56.71
866,56.56
869,56.13
874,57.29
868,56.71
866,56.71
868,56.42
873,56.27
869,56.71
864,56.13
870,55.55
871,56.71
867,56.42
867,58.16
872,56.71
874,56.56
870,56.71
864,56.27
867,56.71
872,56.13
866,56.71
864,57.14
871,55.55
872,55.84
871,57.14
865,56.71
865,55.55
874,56.71
870,56.71
867,56.56
871,56.56
875,56.13
867,56.71
863,56.71
872,56.13
874,56.56
870,57.14
865,57.58
870,56.71
873,56.42
878,56.13
886,57.58
903,56.71
919,55.55
925,55.98
931,57.29
941,55.55
948,56.71
946,57.29
942,57.14
949,56.13
952,55.26
948,55.55
950,57.14
954,56.71
955,56.56
951,56.71
948,56.13
953,56.71
959,56.13
954,57.14
953,55.55
957,56.27
964,56.71
956,56.13
954,57.29
955,57.14
961,56.27
956,56.13
953,56.71
960,56.56
964,56.13
959,57.14
955,54.82
961,55.55
963,56.13
956,56.71
958,55.55
962,56.71
963,56.13
958,57.29
954,57.0
961,55.26
961,56.42
961,57.14
959,56.71
965,56.13
962,56.42
959,56.13
957,55.55
963,54.24
965,56.13
960,56.13
959,56.13
965,55.55
970,57.0
962,56.71
961,55.55
965,56.42
969,56.42
962,56.71
959,56.71
969,57.43
964,55.55
960,54.39
959,57.58
966,57.72
970,58.88
966,57.29
962,58.45
965,55.55
967,56.56
960,57.14
960,56.42
964,56.56
968,57.29
962,56.56
960,57.14
968,57.87
970,57.72
964,56.56
957,55.55
963,56.71
967,56.71
964,56.85
959,57.87
963,55.40
970,57.58
960,55.98
957,56.71
964,56.13
964,56.13
960,56.13
958,57.14
963,56.42
966,56.42
960,56.13
958,55.55
964,55.55
966,56.27
959,56.71
957,55.40
965,56.56
966,57.14
960,56.71
957,57.29
963,55.55
965,56.71
957,56.13
958,56.56
966,57.29
968,56.13
962,56.71
959,55.55
968,57.29
964,56.42
960,55.55
961,56.13
966,56.27
967,56.56
960,56.71
962,56.13
963,54.82
961,53.81
959,56.13
961,56.13
966,57.87
964,56.56
958,57.43
960,57.58
963,57.87
964,56.71
957,55.55
962,56.13
968,55.55
968,56.71
961,56.71
958,56.71
962,54.97
968,56.71
960,56.71
961,56.13
963,54.97
966,56.71
957,55.98
959,56.13
964,56.71
966,57.29
960,56.27
959,56.71
965,55.55
961,56.71
959,56.71
962,56.71
964,56.56
964,56.42
961,56.71
960,56.27
970,57.14
967,56.27
959,57.29
958,55.55
965,55.98
964,56.71
959,56.13
962,57.29
966,56.13
966,57.72
960,56.13
959,57.58
964,53.22
967,56.85
959,56.71
962,56.71
967,55.55
964,56.42
957,56.71
962,56.13
966,55.98
966,56.56
963,56.71
961,57.43
963,56.13
963,56.13
958,56.56
960,57.0
967,56.13
968,57.43
960,56.42
960,56.42
965,56.71
970,57.14
960,57.29
962,57.87
968,55.98
970,55.98
962,56.71
960,55.98
965,55.40
961,56.42
958,56.56
961,57.29
963,55.40
965,55.98
960,56.85
962,56.71
970,56.27
964,55.98
959,56.71
959,56.13
964,57.14
964,56.71
960,57.14
961,55.55
965,56.42
965,58.30
962,57.14
963,57.29
968,57.14
965,56.71
960,56.13
960,56.71
968,57.14
963,57.14
957,56.71
961,56.71
963,55.84
964,56.71
959,56.13
962,57.14
968,56.71
966,57.14
957,56.71
960,56.71
968,56.56
966,56.71
958,56.71
961,55.55
966,56.13
965,55.40
960,57.29
962,56.71
968,56.27
966,56.71
958,56.71
961,57.58
968,56.13
966,57.29
962,56.27
961,56.27
968,56.71
964,56.13
960,56.56
966,56.13
964,57.14
965,56.71
957,56.56
961,57.0
965,55.55
958,56.71
942,57.29
925,56.71
914,56.13
899,56.71
891,57.43
889,55.98
891,55.55
888,56.71
882,56.56
882,56.56
890,56.71
884,55.98
877,56.56
885,56.27
900,57.0
896,55.55
884,56.13
890,55.40
922,57.87
934,57.43
937,54.82
945,56.27
953,57.58
945,56.71
926,57.14
915,56.71
908,56.42
895,56.71
884,54.39
885,57.14
889,57.14
890,56.71
878,56.56
