,  35 .  10 
2000 ,  36 .  69 
2000 ,  36 .  84 
1999 ,  35 .  68 
2000 ,  36 .  98 
2002 ,  36 .  40 
2002 ,  34 .  52 
1998 ,  36 .  26 
2000 ,  36 .  84 
1999 ,  36 .  11 
1998 ,  35 .  82 
1996 ,  33 .  94 
1998 ,  34 .  81 
1997 ,  34 .  81 
1996 ,  34 .  81 
1998 ,  35 .  10 
1996 ,  35 .  10 
1996 ,  35 .  24 
1996 ,  34 .  81 
1995 ,  35 .  68 
1996 ,  35 .  39 
1995 ,  35 .  39 
1995 ,  35 .  10 
1994 ,  35 .  39 
1996 ,  35 .  68 
1998 ,  35 .  68 
1998 ,  35 .  68 
1998 ,  35 .  39 
1998 ,  35 .  82 
1999 ,  35 .  24 
1998 ,  35 .  10 
1995 ,  35 .  68 
1996 ,  35 .  68 
1995 ,  35 .  53 
1997 ,  35 .  82 
1994 ,  35 .  68 
1994 ,  35 .  82 
1994 ,  35 .  24 
1993 ,  35 .  82 
1991 ,  35 .  10 
1993 ,  35 .  53 
1992 ,  35 .  68 
1992 ,  36 .  55 
1990 ,  35 .  68 
1990 ,  36 .  26 
1992 ,  35 .  68 
1987 ,  35 .  24 
1988 ,  36 .  55 
1991 ,  35 .  68 
1989 ,  35 .  24 
1990 ,  35 .  97 
1988 ,  35 .  82 
1988 ,  35 .  82 
1991 ,  34 .  81 
1990 ,  35 .  68 
1990 ,  35 .  82 
1989 ,  35 .  82 
1989 ,  35 .  68 
1989 ,  35 .  68 
1989 ,  35 .  39 
1989 ,  35 .  39 
1989 ,  34 .  52 
1992 ,  36 .  84 
1989 ,  36 .  40 
1990 ,  35 .  68 
1993 ,  35 .  82 
1989 ,  35 .  68 
1988 ,  35 .  68 
1991 ,  35 .  82 
1983 ,  35 .  82 
1986 ,  36 .  26 
1988 ,  35 .  68 
1989 ,  35 .  24 
1989 ,  35 .  82 
1994 ,  36 .  55 
1990 ,  35 .  82 
1990 ,  35 .  24 
1990 ,  35 .  24 
2004 ,  36 .  26 
1990 ,  35 .  82 
1999 ,  35 .  53 
1990 ,  35 .  53 
1991 ,  36 .  26 
1990 ,  35 .  97 
1991 ,  36 .  26 
1989 ,  36 .  84 
1989 ,  35 .  82 
1989 ,  36 .  26 
1992 ,  36 .  84 
1992 ,  35 .  82 
1988 ,  35 .  82 
1989 ,  35 .  10 
1990 ,  35 .  82 
1989 ,  35 .  82 
1992 ,  35 .  39 
1990 ,  35 .  82 
1990 ,  36 .  26 
1989 ,  35 .  10 
1989 ,  35 .  82 
1987 ,  34 .  66 
1988 ,  34 .  81 
1992 ,  35 .  82 
1992 ,  35 .  24 
1989 ,  35 .  68 
1989 ,  35 .  82 
1989 ,  36 .  55 
1990 ,  35 .  68 
1989 ,  35 .  82 
1992 ,  36 .  55 
1990 ,  35 .  68 
1992 ,  36 .  55 
1990 ,  36 .  55 
1992 ,  36 .  84 
1991 ,  35 .  10 
1992 ,  34 .  81 
1989 ,  35 .  53 
1991 ,  35 .  10 
1989 ,  35 .  68 
1991 ,  35 .  82 
1993 ,  35 .  39 
1992 ,  36 .  55 
1990 ,  36 .  69 
1992 ,  34 .  23 
1990 ,  35 .  82 
1990 ,  36 .  84 
1989 ,  35 .  53 
1989 ,  36 .  11 
1988 ,  35 .  24 
1990 ,  35 .  68 
1992 ,  36 .  55 
1990 ,  36 .  55 
1990 ,  35 .  68 
1992 ,  35 .  68 
1991 ,  34 .  81 
